,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
0,롯데마트 삼계점,01,경상남도 창원시 마산회원구 내서읍 경남대로 927,35.233023,128.504094,50,단독,48,,,Y,9,9
1,홈플러스 마산점,03,경상남도 창원시 마산회원구 삼호로 56,35.222610,128.585767,50,단독,48,,,N,9,9
2,진주시청,06,경상남도 진주시 동진로 155,35.180378,128.108884,50,단독,48,,,N,9,9
3,경상남도 서부청사,06,경상남도 진주시 월아산로 2026,35.2129639,128.1233299,50,단독,48,,,N,2,2
4,진해해양공원,03,경상남도 창원시 진해구 명동로 62,35.092286,128.719427,50,단독,48,,,N,9,9
5,신세계종합정비,06,경상남도 통영시 광도면 죽림리 292-33,34.8789124,128.4133694,50,단독,48,,,N,9,9
6,김해시 장유출장소,06,경상남도 김해시 부곡로 57,35.2090443,128.798395,50,단독,48,,,N,9,9
7,진영문화센터,06,경상남도 김해시 진영읍 김해대로 440,35.3049134,128.7374389,50,단독,48,,,N,2,2
8,거제휴게소(거제해양파크),06,경상남도 거제시 거제대로 1068,34.9723153,128.6938807,50,단독,48,,,N,2,2
9,고성휴게소(하남방향),06,경상남도 고성군 대가면 통영대전고속도로 32 ,35.0571523,128.2511447,50,단독,48,,,N,2,2
10,고성휴게소(통영방향),06,경상남도 고성군 대가면 통영대전고속도로 29 ,35.0516247,128.2638664,50,단독,48,,,N,2,2
11,이순신순국공원,06,경상남도 남해군 고현면 차면리 ,34.9105664,127.8587754,50,단독,48,,,N,2,2
12,하동군청,06,경상남도 하동군 하동읍 군청로 23,35.0673835,127.7511601,50,단독,48,,,N,2,2
13,석풍휴게소,06,경상남도 산청군 신안면 산청대로 1169,35.3629543,127.9186023,50,단독,48,,,N,9,9
14,함양휴게소(하남방향),06,경상남도 함양군 지곡면 보산리,35.5518867,127.7599314,50,단독,48,,,N,2,2
15,함양휴게소(통영방향),06,경상남도 함양군 지곡면 보산리,35.5511049,127.7586744,50,단독,48,,,N,2,2
16,조망공원,06,경상남도 함양군 함양읍 고운로 161-51,35.5244553,127.7438188,50,단독,48,,,N,2,2
17,거창휴게소(옥포방향),06,경상남도 거창군 가조면 도리,35.7057972,128.0569946,50,단독,48,,,N,9,9
18,거창휴게소(고서방향),06,경상남도 거창군 가조면 도리 산189-1 ,35.7085155,128.0574192,50,단독,48,,,N,2,2
19,거창군청,06,경상남도 거창군 거창읍 중앙로 103,35.6869125,127.9092271,50,단독,48,,,N,9,9
20,합천군청,06,경상남도 합천군 합천읍 동서로 119,35.5666565,128.1667084,50,단독,48,,,N,2,2
21,통도사휴게소(부산방향),06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),35.4885288,129.0914428,50,단독,48,,,Y,2,2
22,통도사휴게소(부산방향),06,경상남도 양산시 하북면 경부고속도로 31-1 (순지리),35.4885288,129.0914428,50,단독,48,,,Y,2,2
