,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
0,종묘 공영주차장,03,서울특별시 종로구 종로 157,37.571076,126.99588,50,단독,11,,,Y,9,9
1,세종로 공영주차장,06,서울특별시 종로구 세종대로 189,37.573611,126.976011,50,단독,11,,,Y,9,9
2,그랜드앰배서더 서울,06,서울특별시 중구 동호로 287,37.559352,127.002350,50,단독,11,,,N,9,9
3,한강진역 공영주차장,03,서울특별시 용산구 한남동 산10-84,37.540085,127.002804,50,단독,11,,,Y,9,9
4,마장동사무소 앞(공중전화부스),06,서울특별시 성동구 마장동 808,37.5660935,127.0455256,50,단독,11,,,N,9,9
5,청량리롯데백화점,03,서울특별시 동대문구 왕산로 214,37.580650,127.047938,50,단독,11,,,N,9,9
6,이마트 이문점,03,서울특별시 동대문구 이문로 136,37.598454,127.061848,50,단독,11,,,N,9,9
7,홈플러스 월곡점,03,서울특별시 성북구 화랑로 76,37.60208293,127.04002398,50,단독,11,,,N,9,9
8,성북벤처빌딩 공영주차장,06,서울특별시 성북구 장위2동 65-154,37.60936,127.053263,50,단독,11,,,N,2,2
9,롯데마트 삼양점,03,서울특별시 강북구 삼양로 247,37.625405,127.017897,50,단독,11,,,N,9,9
10,이마트 은평점,03,서울특별시 은평구 은평로 111,37.60047527,126.92047408,50,단독,11,,,N,9,9
11,구파발역 환승주차장,03,서울특별시 은평구 진관동 66-30,37.637910,126.91910,50,단독,11,,,Y,9,9
12,홈플러스 월드컵점,03,서울특별시 마포구 월드컵로 240,37.566685,126.898753,50,단독,11,,,N,9,9
13,시설관리공단 마포유수지주차장,03,서울특별시 마포구 마포대로1길 19,37.539442,126.943054,50,단독,11,,,Y,9,9
14,홈플러스 목동점,03,서울특별시 양천구 목동서로 170,37.52992611,126.87364033,50,단독,11,,,N,9,9
15,해맞이공영주차장,06,서울특별시 양천구 지양로 47,37.520062,126.834854,50,단독,11,,,N,9,9
16,홈플러스 가양점,03,서울특별시 강서구 양천로 431,37.56401856,126.85059572,50,단독,11,,,N,9,9
17,롯데마트 김포공항점,06,서울특별시 강서구 하늘길 77,37.563453,126.803539,50,단독,11,,,Y,9,9
18,메이필드호텔,06,서울특별시 강서구 방화대로 94,37.546851,126.818613,50,단독,11,,,N,9,9
19,천왕역 환승주차장,03,서울특별시 구로구 오류동 174-10,37.487234,126.839153,50,단독,11,,,Y,9,9
20,구로리공원 앞(공중전화부스),06,서울특별시 구로구 구로동 136-14,37.4912466,126.8919514,50,단독,11,,,N,9,9
21,홈플러스 시흥점,03,서울특별시 금천구 시흥대로 201,37.45222814,126.90093936,50,단독,11,,,N,9,9
22,제일모직아울렛 건너편(공중전화부스),06,서울특별시 금천구 가산동 239-27,37.4744454,126.8867302,50,단독,11,,,N,9,9
23,영등포구 대신시장(공중전화부스),06,서울특별시 영등포구 신길1동 116-15,37.5113404,126.9176919,50,단독,11,,,N,2,2
24,동작주차공원 공영주차장,06,서울특별시 동작구 현충로 213,37.503803,126.976775,50,단독,11,,,Y,9,9
25,조원동 제1공영주차장,06,서울특별시 관악구 신림동 571-6,37.481069,126.905703,50,단독,11,,,N,2,2
26,사당역 공영주차장,03,서울특별시 서초구 과천대로 950-18,37.475256,126.982638,50,단독,11,,,Y,9,9
27,이마트 양재점,03,서울특별시 서초구 매헌로 16,37.463293,127.036812,50,단독,11,,,N,9,9
28,수서역 공영주차장,03,서울특별시 강남구 수서동 735,37.487569,127.101016,50,단독,11,,,Y,9,9
29,학여울역 공영주차장,03,서울특별시 강남구 남부순환로 3104,37.496722,127.070444,50,단독,11,,,Y,9,9
30,롯데마트 잠실점,03,서울특별시 송파구 올림픽로 240,37.511818,127.096321,50,단독,11,,,N,9,9
31,이마트 명일점,03,서울특별시 강동구 고덕로 276,37.554606,127.155966,50,단독,11,,,N,9,9
32,노보텔,06,서울특별시 강남구 봉은사로 130,37.5052721,127.0289991,50,단독,11,,,N,2,2
33,암사1동 공영주차장,06,서울특별시 강동구 고덕로28길 36,37.5529087,127.1372547,50,단독,11,,,N,2,2
