,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1,0 : 2,0 : 3,0 : 4,0 : 5
0,산굼부리,03,제주특별자치도 제주시 조천읍 비자림로 768,33.434940,126.689497,50,단독,50,,,N,9,9,9,9,9,9
1,노형동주민센터,06,"제주특별자치도 제주시 노형9길 9-4, ",33.483044,126.477120,50,단독,50,,,Y,9,9,9,9,9,9
2,방송통신융합센터,06,제주특별자치도 제주시 첨단로 241,33.450595,126.572484,50,단독,50,,,N,9,9,9,9,9,9
3,돌문화공원,06,제주특별자치도 제주시 조천읍 남조로 2023,33.445733,126.663812,50,단독,50,,,N,9,9,9,9,9,9
4,제주종합경기장1,06,제주특별자치도 제주시 서광로2길 24,33.4960616,126.5165158,50,단독,50,,,N,9,9,9,9,9,9
5,제주종합경기장2,06,제주특별자치도 제주시 서광로2길 24,33.4955068,126.5164952,50,단독,50,,,N,9,9,9,9,9,9
6,제주서귀포시청 제1청사,06,제주특별자치도 서귀포시 중앙로 105,33.253965,126.560237,50,단독,50,,,N,9,9,9,9,9,9
7,제주일출랜드,03,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.383533,126.841366,50,단독,50,,,N,9,9,9,9,9,9
8,제주국제컨벤션센터,03,제주특별자치도 서귀포시 중문관광로 224,33.241630,126.425461,50,단독,50,,,N,9,9,9,9,9,9
9,중문랜드,06,제주특별자치도 서귀포시 소보리당로164번길 62,33.263975,126.385209,50,단독,50,,,N,9,9,9,9,9,9
10,서귀포천지연폭포,03,제주특별자치도 서귀포시 남성중로 2-15,33.244797,126.559957,50,단독,50,,,N,9,9,9,9,9,9
11,만장굴,06,제주특별자치도 제주시 구좌읍 만장굴길 182,33.530833,126.772028,50,단독,50,,,Y,9,9,9,9,9,9
12,도남1차e편한세상아파트,06,제주특별자치도 제주시 오남로 7-13,33.493889,126.521524,50,단독,50,,,Y,9,9,9,9,9,9
13,보건환경연구원,06,제주특별자치도 제주시 삼동길 41,33.4798477,126.4950629,50,단독,50,,,Y,9,9,9,9,9,9
14,남원읍 공영주차장,06,제주특별자치도 서귀포시 남원읍 남원리 84-2,33.2788767,126.7213139,50,단독,50,,,N,2,2,2,2,2,2
15,위미의례회관,06,제주특별자치도 서귀포시 남원읍 중산간동로 6862,33.289615,126.6576261,50,단독,50,,,N,2,2,2,2,2,2
16,대정감협 인근 공영주차장,06,제주특별자치도 서귀포시 대정읍 하모리 964-2,33.2229383,126.2520224,50,단독,50,,,N,2,2,2,2,2,2
17,퐁낭 작은 도서관 앞 주차장,06,제주특별자치도 서귀포시 동홍동 470-1,33.2553617,126.5720303,50,단독,50,,,N,3,3,3,3,3,3
18,월드컵경기장 인근 공영주차장,06,제주특별자치도 서귀포시 법환동 870,33.2475057,126.510693,50,단독,50,,,N,9,9,9,9,9,9
19,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
20,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,3,3,3,3,3
21,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
