,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
0,전라남도 동부지역본부,06,전라남도 순천시 백강로 32,34.9369363,127.5231522,50,단독,46,,,N,2,2
1,전남 국제교육원 기숙사옆 주차장,06,전라남도 여수시 돌산읍 강남로 31,34.7186332,127.7504264,50,단독,46,,,N,2,2
2,여수시청 직장어린이집앞,06,전라남도 여수시 학동 168(시청로 1번지),34.7595414,127.663531,50,단독,46,,,N,2,2
3,순천만국가정원,06,전라남도 순천시 남승룡로 66,34.928755,127.4945834,50,단독,46,,,N,9,9
4,황전휴게소(전주방향),06,전라남도 순천시 황전면 선변리,35.1529501,127.4541784,50,단독,46,,,N,2,2
5,역전시장(공중전화부스),06,전라남도 순천시 덕암동 220,34.9442291,127.5050376,50,단독,46,,,N,2,2
6,대일학원 앞(공중전화부스),06,전라남도 순천시 조례동 1258,34.9491563,127.5152429,50,단독,46,,,N,9,9
7,황전휴게소(순천방향),06,전라남도 순천시 황전면 선변리,35.149564,127.4538103,50,단독,46,,,N,2,2
8,섬진강휴게소(부산방향),06,전라남도 광양시 진월면 신아리,34.9850866,127.7712222,50,단독,46,,,N,2,2
9,섬진강휴게소(순천방향),06,전라남도 광양시 진월면 신아리,34.9851868,127.7687606,50,단독,46,,,N,9,9
10,광양만권경제자유구역청,06,전라남도 광양시 광양읍 인덕로 1100(광양시 제2청사),34.9803201,127.5834667,50,단독,46,,,N,2,2
11,참살이조가비촌,06,전라남도 고흥군 과역면 무궁화길 12,34.6777856,127.3604837,50,단독,46,,,N,2,2
12,보성녹차휴게소(목포방향),06,전라남도 보성군 미력면 화방리,34.8143816,127.1247081,50,단독,46,,,N,9,9
13,보성녹차휴게소(광양방향),06,전라남도 보성군 겸백면 수남리,34.8081819,127.1816816,50,단독,46,,,N,2,2
14,우수영관광지,06,전라남도 해남군 문내면 관광레저로 12,34.5729042,126.309989,50,단독,46,,,N,9,9
15,땅끝해변주차장,06,전라남도 해남군 송지면 송호로 105-1,34.3119429,126.5213165,50,단독,46,,,N,9,9
16,전라남도청,06,전라남도 무안군 삼향읍 오룡길 1,34.817195,126.4632466,50,단독,46,,,N,9,9
17,함평천지휴게소(목포방향),06,전라남도 함평군 함평읍 서해안고속도로 31,35.069482,126.478980,50,단독,46,,,N,9,9
18,농어민문화체육센터,06,전라남도 완도군 완도읍 개포로 111,34.315386,126.7420157,50,단독,46,,,N,2,2
19,강진국민체육센터,06,전라남도 강진군 군동면 종합운동장 60,34.6456444,126.7812307,50,단독,46,,,N,2,2
20,구례실내수영장,06,전라남도 구례군 구례읍 봉북리 1423-1,35.2160563,127.4669052,50,단독,46,,,N,2,2
21,압해읍사무소,06,전라남도 신안군 압해읍 학교리 585,34.8654674,126.3127835,50,단독,46,,,N,2,2
22,장성군민회관,06,전라남도 장성군 장성읍 영천리 1486-22 ,35.3041786,126.7865941,50,단독,46,,,N,2,2
23,함평천지휴게소(목포방향),06,전라남도 함평군 함평읍 서해안고속도로 31 (장교리),35.0694817,126.4786195,50,단독,46,,,Y,2,2
24,함평천지휴게소(목포방향),06,전라남도 함평군 함평읍 서해안고속도로 31 (장교리),35.0694817,126.4786195,50,단독,46,,,Y,2,2
25,함평천지휴게소(시흥방향),06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),35.130737,126.481642,50,단독,46,,,Y,9,9
26,함평천지휴게소(시흥방향),06,전라남도 함평군 함평읍 서해안고속도로 38 (죽암리),35.130737,126.481642,50,단독,46,,,Y,2,2
27,곡성휴게소(논산방향),06,전라남도 곡성군 겸면 호남고속도로 50 (가정리),35.2593506,127.1524894,50,단독,46,,,Y,2,2
28,곡성휴게소(논산방향),06,전라남도 곡성군 겸면 호남고속도로 50 (가정리),35.2593506,127.1524894,50,단독,46,,,Y,2,2
29,곡성휴게소(순천방향),06,전라남도 곡성군 겸면 호남고속도로 49 (가정리),35.2581787,127.1516545,50,단독,46,,,Y,5,5
30,곡성휴게소(순천방향),06,전라남도 곡성군 겸면 호남고속도로 49 (가정리),35.2581787,127.1516545,50,단독,46,,,Y,2,2
31,백양사휴게소(논산방향),06,전라남도 장성군 북이면 호남고속도로 108 (박산리),35.393621,126.8072817,50,단독,46,,,Y,2,2
32,백양사휴게소(논산방향),06,전라남도 장성군 북이면 호남고속도로 108 (박산리),35.393621,126.8072817,50,단독,46,,,Y,2,2
33,순천휴게소(순천방향),06,전라남도 순천시 서면 호남고속도로 3 (비월리),35.0087393,127.4465958,50,단독,46,,,Y,2,2
34,보성녹차휴게소(광양방향),06,전라남도 보성군 겸백면 남해고속도로 70 (수남리),34.8080819,127.1818816,50,단독,46,,,Y,2,2
35,보성녹차휴게소(목포방향),06,전라남도 보성군 미력면 화방리 1647-1,34.8142816,127.1249081,50,단독,46,,,Y,3,3
36,함평나비휴게소(광주방향),06,전라남도 함평군 엄다면 무안광주고속도로 12 (화양리),35.0375226,126.5121951,50,단독,46,,,Y,9,9
37,함평나비휴게소(광주방향),06,전라남도 함평군 엄다면 무안광주고속도로 12 (화양리),35.0375226,126.5121951,50,단독,46,,,Y,2,2
38,한국도로공사담양지사,06,전라남도 담양군 대전면 중옥길 34,35.2601773,126.887074,50,단독,46,,,Y,9,9
39,백양사휴게소(순천방향),06,전라남도 장성군 북이면 호남고속도로 107 (모현리),35.3941502,126.8060197,50,단독,46,,,Y,9,9
40,백양사휴게소(순천방향),06,전라남도 장성군 북이면 호남고속도로 107 (모현리),35.3941502,126.8060197,50,단독,46,,,Y,2,2
41,롯데마트 목포점,06,전라남도 목포시 원형서로 15 롯데마트목포점,34.7972912,126.4294846,50,단독,46,,,Y,2,2
42,롯데마트 목포점,06,전라남도 목포시 원형서로 15 롯데마트목포점,34.7972912,126.4294846,50,단독,46,,,Y,2,2
