,충전소명,충전소ID,충전기ID,충전타입,주소,위도,경도,상태갱신일시,최종충전시작,최종충전종료,충전중시작,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(1분),0 : 1
0,산굼부리,ME000446,01,03,제주특별자치도 제주시 조천읍 비자림로 768,33.434940,126.689497,20220307145810,20211021122718,20211021130750,,50,단독,50,,,N,9,9
1,노형동주민센터,ME000457,03,06,"제주특별자치도 제주시 노형9길 9-4, ",33.483044,126.477120,20211013143310,20211013094948,20211013095051,,50,단독,50,,,Y,9,9
2,방송통신융합센터,ME000458,01,06,제주특별자치도 제주시 첨단로 241,33.450595,126.572484,20210910100810,20210906120757,20210906124803,,50,단독,50,,,N,9,9
3,돌문화공원,ME000461,01,06,제주특별자치도 제주시 조천읍 남조로 2023,33.445733,126.663812,20220307150310,20211010152937,20211010155133,,50,단독,50,,,N,9,9
4,제주종합경기장1,ME000463,01,06,제주특별자치도 제주시 서광로2길 24,33.4960616,126.5165158,20211124162810,20211019141116,20211019144809,,50,단독,50,,,N,9,9
5,제주종합경기장2,ME000466,01,06,제주특별자치도 제주시 서광로2길 24,33.4955068,126.5164952,20210910102810,20210909084831,20210909090641,20210909093943,50,단독,50,,,N,9,9
6,제주서귀포시청 제1청사,ME000473,01,06,제주특별자치도 서귀포시 중앙로 105,33.253965,126.560237,20211124163310,20211020053346,20211020060404,,50,단독,50,,,N,9,9
7,제주일출랜드,ME000475,01,03,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.383533,126.841366,20210910101310,20210824094844,20210824095334,,50,단독,50,,,N,9,9
8,제주국제컨벤션센터,ME000478,01,03,제주특별자치도 서귀포시 중문관광로 224,33.241630,126.425461,20211124163310,20210912143650,20210912145308,,50,단독,50,,,N,9,9
9,중문랜드,ME000482,01,06,제주특별자치도 서귀포시 소보리당로164번길 62,33.263975,126.385209,20210910103310,20210906065725,20210906072425,,50,단독,50,,,N,9,9
10,서귀포천지연폭포,ME000483,01,03,제주특별자치도 서귀포시 남성중로 2-15,33.244797,126.559957,20210929094310,20210928204831,20210928212342,,50,단독,50,,,N,9,9
11,만장굴,ME000494,01,06,제주특별자치도 제주시 구좌읍 만장굴길 182,33.530833,126.772028,20210926110310,20210926075840,20210926080551,,50,단독,50,,,Y,9,9
12,도남1차e편한세상아파트,ME000496,02,06,제주특별자치도 제주시 오남로 7-13,33.493889,126.521524,20210909182310,20210905174036,20210905182117,,50,단독,50,,,Y,9,9
13,보건환경연구원,ME000505,01,06,제주특별자치도 제주시 삼동길 41,33.4798477,126.4950629,20210910140310,20210910132445,20210910133051,,50,단독,50,,,Y,9,9
14,남원읍 공영주차장,ME174045,01,06,제주특별자치도 서귀포시 남원읍 남원리 84-2,33.2788767,126.7213139,20220625195407,20220625191307,20220625195406,,50,단독,50,,,N,2,2
15,위미의례회관,ME174046,01,06,제주특별자치도 서귀포시 남원읍 중산간동로 6862,33.289615,126.6576261,20220623133550,20220623125334,20220623133549,,50,단독,50,,,N,2,2
16,대정감협 인근 공영주차장,ME174047,01,06,제주특별자치도 서귀포시 대정읍 하모리 964-2,33.2229383,126.2520224,20220625225545,20220625221222,20220625225544,,50,단독,50,,,N,2,2
