,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000096,01,,20220701183706,20220701181322,20220701183251,20220701183655,3
1,ME000225,01,,20220701183606,20220701173821,20220701181725,,2
2,ME000291,01,,20220701183304,20220701175726,20220701181000,20220701183131,3
3,ME000361,01,,20220701183310,00000000000000,20220701085503,20220701170735,9
4,ME000378,01,,20220701183605,20220701143714,20220701145901,20220701183510,3
5,ME000387,01,,20220701183458,20220701182942,20220701183444,,2
6,ME000430,01,,20220701183658,20220701173504,20220701181126,20220701183637,3
7,ME174017,01,,20220701183333,20220701175014,20220701183332,,2
8,ME174020,01,,20220701183354,20220701172055,20220701180118,,2
9,ME174028,01,,20220701183351,20220701180705,20220701183351,,2
10,ME174030,01,,20220701183335,20220701174550,20220701182909,20220701183335,3
11,ME174033,01,,20220701183459,20220701165615,20220701172141,20220701183457,3
12,ME174050,03,,20220701183316,20220701175144,20220701183242,,2
13,ME174057,02,,20220701183626,20220701173540,20220701180305,,2
14,ME174068,01,,20220701183435,20220701160111,20220701161951,20220701183434,3
15,ME174075,01,,20220701183315,20220701174923,20220701183242,,2
16,ME174119,01,,20220701183428,20220701145225,20220701150534,,2
17,ME174121,01,,20220701183558,20220701174832,20220701183349,20220701183557,3
18,ME174145,01,,20220701183426,20220701182749,20220701183355,,2
19,ME178001,01,,20220701183550,20220701182204,20220701183549,,2
20,ME178009,01,,20220701183424,20220701180134,20220701183149,20220701183424,3
21,ME178013,01,,20220701183639,20220701175613,20220701183638,,2
22,ME178013,03,,20220701183558,20220701180325,20220701182330,,3
23,ME178015,01,,20220701183521,20220701173240,20220701181308,20220701183520,3
24,ME178015,02,,20220701183529,20220701170030,20220701172055,20220701183528,3
25,ME178019,02,,20220701183312,20220701174620,20220701180735,20220701183311,3
26,ME178031,02,,20220701183700,20220701054135,20220701055726,20220701183659,3
27,ME178033,01,,20220701183539,20220701180417,20220701183538,,2
28,ME178035,01,,20800606031022,20210826144033,20210826152638,,5
29,ME178035,02,,20220701183619,20220701175958,20220701181553,20220701183618,3
30,ME178058,01,,20220701183513,20220701174912,20220701183228,20220701183512,3
31,ME178066,01,,20220701183530,20220701180029,20220701183259,20220701183529,3
32,ME178073,02,,20220701183529,20220701160903,20220701164218,20220701183528,3
33,ME178073,03,,20220701183634,20220701171840,20220701174650,20220701183634,3
34,ME178074,02,,20220701183539,20220701180709,20220701183538,,2
35,ME178076,01,,20220701183633,20220701175525,20220701183632,,2
36,ME178077,01,,20220701183316,20220701174105,20220701182112,20220701183315,3
37,ME178080,02,,20220701183311,20220701175328,20220701182659,20220701183310,3
38,ME178101,01,,20220701183433,20220701163723,20220701172028,20220701183432,3
39,ME178109,01,,20220701183342,20220701164433,20220701171005,,2
40,ME178115,02,,20220701183540,20220701180853,20220701183515,,2
41,ME178120,02,,20220701183513,20220701181437,20220701183221,20220701183512,3
42,ME178121,02,,20220701183529,20220701181322,20220701183528,,2
43,ME178122,01,,20220701183612,20220701181110,20220701183611,,2
44,ME178139,01,,20220701183325,20220701174728,20220701183033,20220701183324,3
45,ME178142,01,,20800925144207,20210805151802,20210805152907,,5
46,ME178144,02,,20220701183612,20220701182407,20220701183612,,2
47,ME178144,03,,20220701183324,20220701174922,20220701183347,,2
48,ME178155,01,,20220701183642,20220701180417,20220701183641,,2
49,ME178158,01,,20220701183706,20220701181120,20220701183705,,2
50,ME181222,01,,20220701183530,20220701171140,20220701175504,,2
51,ME181426,01,,20220701183636,20220701144831,20220701145536,20220701183636,3
52,ME181441,01,,20220701183539,20220701155154,20220701162233,20220701183538,3
53,ME181442,01,,20220701183550,20220701164035,20220701172001,,2
54,ME181541,01,,20220701183500,20220701162311,20220701170631,20220701183459,3
55,ME183024,01,,20220701183603,20220701183059,20220701183602,,2
56,ME183025,01,,20220701183658,20220701180721,20220701183657,,2
57,ME183042,01,,20220701183403,20220628142126,20220628150152,20220701183402,3
58,ME183062,01,,20220701183637,20220701180741,20220701183636,,2
59,ME183110,02,,20220701183407,20220701170749,20220701175053,20220701183407,3
60,ME183125,01,,20220701183522,20220701173612,20220701175337,,2
61,ME183126,52,,20220701183345,20220701182311,20220701183344,,2
62,ME183155,01,,20220701183523,20220701174354,20220701182018,20220701183522,3
63,ME183156,52,,20220701183532,20220701182541,20220701183530,,2
64,ME183157,01,,20220701183303,20220701151722,20220701153052,20220701183302,3
65,ME183182,01,,20800927030732,20210826130041,20210826134352,,5
66,ME183182,02,,20220701183613,20220701140418,20220701144601,20220701183613,3
67,ME183187,02,,20800904145416,20210814161840,20210814164059,,5
68,ME183190,52,,20220701183347,20220701175433,20220701183042,20220701183346,3
69,ME183208,02,,20220701183652,20220701180051,20220701183651,,2
70,ME183210,02,,20220701183537,20220701175232,20220701183351,20220701183536,3
71,ME183216,02,,20220701183437,20220701181155,20220701183436,,2
72,ME184027,01,,20220701183327,20220701180942,20220701183326,,2
73,ME184041,01,,20220701183334,20220630172949,20220630180510,20220701183333,3
